input data source: n:\Crowd\scene1.avi
Frame time cost: 0.000583s.
Frame time cost: 0.041568s.
Frame time cost: 0.053473s.
Frame time cost: 0.054422s.
Frame time cost: 0.057060s.
Frame time cost: 0.055001s.
Frame time cost: 0.054000s.
Frame time cost: 0.053929s.
Frame time cost: 0.052749s.
Frame time cost: 0.052920s.
Frame time cost: 0.053376s.
Frame time cost: 0.053293s.
Frame time cost: 0.053516s.
Frame time cost: 0.053199s.
Frame time cost: 0.053006s.
Frame time cost: 0.052359s.
Frame time cost: 0.052762s.
Frame time cost: 0.053261s.
Frame time cost: 0.052980s.
Frame time cost: 0.053223s.
Frame time cost: 0.056281s.
Frame time cost: 0.052943s.
Frame time cost: 0.053055s.
Frame time cost: 0.052621s.
Frame time cost: 0.052972s.
Frame time cost: 0.052462s.
Frame time cost: 0.053083s.
Frame time cost: 0.053073s.
Frame time cost: 0.053249s.
Frame time cost: 0.053165s.
Frame time cost: 0.053015s.
Frame time cost: 0.053111s.
Frame time cost: 0.055030s.
Frame time cost: 0.052827s.
Frame time cost: 0.052536s.
Frame time cost: 0.053162s.
Frame time cost: 0.053078s.
Frame time cost: 0.056942s.
Frame time cost: 0.054640s.
Frame time cost: 0.053346s.
Frame time cost: 0.053324s.
Frame time cost: 0.053439s.
Frame time cost: 0.052732s.
Frame time cost: 0.053350s.
Frame time cost: 0.053236s.
Frame time cost: 0.056012s.
Frame time cost: 0.052961s.
Frame time cost: 0.053444s.
Frame time cost: 0.053163s.
Frame time cost: 0.053224s.
Frame time cost: 0.052420s.
Frame time cost: 0.052493s.
Frame time cost: 0.053707s.
Frame time cost: 0.052986s.
Frame time cost: 0.053063s.
Frame time cost: 0.053310s.
Frame time cost: 0.053622s.
Frame time cost: 0.053464s.
Frame time cost: 0.053467s.
Frame time cost: 0.050858s.
Frame time cost: 0.053421s.
Frame time cost: 0.053366s.
Frame time cost: 0.053645s.
Frame time cost: 0.053426s.
Frame time cost: 0.053634s.
Frame time cost: 0.053311s.
Frame time cost: 0.053695s.
Frame time cost: 0.052746s.
Frame time cost: 0.052772s.
Frame time cost: 0.053970s.
Frame time cost: 0.053167s.
Frame time cost: 0.052994s.
Frame time cost: 0.053551s.
Frame time cost: 0.053264s.
